From	Entry
Q08211	Q08211
Q9RS96	Q9RS96
P04273	P04273
Q86U60	P37231
P35031	P35031
O66837	O66837
Q8NQ97	Q8NQ97
P14385	P14385
Q8DNV6	Q8DNV6
Q969R5	Q969R5
G0SEG4	G0SEG4
Q88NI1	Q88NI1
P52209	P52209
Q81VW8	Q81VW8
Q14289	Q14289
A0A1A9TA69	A0A1A9TA69
P71278	P71278
G0S8G9	G0S8G9
O67060	O67060
P0ADR8	P0ADR8
P62694	P62694
A0A4Y1WAP5	A0A4Y1WAP5
P0AEX9	P0AEX9
Q27743	Q27743
P46925	P46925
P37468	P37468
P62617	P62617
P09411	P09411
O43451	O43451
Q12406	Q12406
P04825	P04825
Q13822	Q13822
P34752	P34752
Q8I4S1	Q8I4S1
A7B1V0	A7B1V0
Q00688	Q00688
Q9HZN8	Q9HZN8
Q9QZ85	Q9QZ85
I6Y9J2	I6Y9J2
P9WQD9	P9WQD9
Q13510	Q13510
P30113	P30113
P06276	P06276
Q7MUW6	Q7MUW6
P0C0J0	P0C0J0
Q6TUJ5	Q6TUJ5
Q8U093	Q8U093
P53368	P53368
P11444	P11444
P51659	P51659
F0V9W9	F0V9W9
Q41931	Q41931
Q8II92	Q8II92
P65248	P65248
P13497	P13497
P24473	P24473
O96935	O96935
Q04724	Q04724
P02741	P02741
P11589	P11589
P50750	P50750
Q96SB4	Q96SB4
P06401	P06401
P35120	P35120
O53512	O53512
Q15910	Q15910
P31939	P31939
P27652	P27652
Q9UKV8	Q9UKV8
O92805	P03354
O95445	O95445
Q2CEE3	Q2CEE3
P21964	P21964
Q9P2K8	Q9P2K8
P9WKD7	P9WKD7
E8MF12	E8MF12
Q56310	Q56310
Q5EP31	Q5EP31
C1JZ07	C1JZ07
Q01234	Q01234
P03438	P03438
P0C2P0	P0C2P0
Q15303	Q15303
Q9D1A2	Q9D1A2
Q01812	Q01812
Q6VT21	Q6VT21
P0C1V0	P0C1V0
Q15393	Q15393
P07236	P07236
Q82PP4	Q82PP4
Q15080	Q15080
Q8Y3Y7	Q8Y3Y7
Q6DRA1	Q6DRA1
P22498	P22498
P58004	P58004
Q12QS6	Q12QS6
P9WPA5	P9WPA5
O75173	O75173
Q8TEQ6	Q8TEQ6
Q8F3Q1	Q8F3Q1
P58154	P58154
P45381	P45381
P07378	P07378
P9WP25	P9WP25
Q89ZI2	Q89ZI2
Q07869	Q07869
P0AGF4	P0AGF4
P62964	P62964
P0DM80	P0DM80
P11558	P11558
P22756	P22756
P45478	P45478
P16154	P16154
P35963	P35963
P0A7Z4	P0A7Z4
Q9EXV5	Q9EXV5
P68693	P68693
A0A0H3C834	A0A0H3C834
A2RI36	A2RI36
P49137	P49137
Q96GD4	Q96GD4
O29777	O29777
Q8II73	Q8II73
P48730	P48730
P0AFM2	P0AFM2
Q90249	Q90249
Q9T0I8	Q9T0I8
P23921	P23921
P48825	P48825
Q9KU37	Q9KU37
Q04656	Q04656
Q5SJ64	Q5SJ64
P00727	P00727
P84887	P84887
D7UQM0	D7UQM0
P41180	P41180
Q9R117	Q9R117
B8GZM2	B8GZM2
P01867	P01867
Q4QHJ8	Q4QHJ8
O75460	O75460
P9WJ61	P9WJ61
P19793	P19793
Q8TL28	Q8TL28
A0A0X1KHD2	A0A0X1KHD2
Q01217	Q01217
P30530	P30530
P9WG43	P9WG43
F2WR52	F2WR52
Q53GL7	Q53GL7
P95607	P95607
Q4WW81	Q4WW81
P31211	P31211
P80457	P80457
Q6QT42	Q6QT42
P18670	P18670
P03956	P03956
Q86C09	Q86C09
P60709	P60709
Q8R7L0	Q8R7L0
Q15120	Q15120
Q9H7E2	Q9H7E2
Q8MTC1	Q8MTC1
P9WFV1	P9WFV1
P0AEB2	P0AEB2
P40107	P40107
Q8N1Q1	Q8N1Q1
Q7DAU8	Q7DAU8
Q93DA5	Q93DA5
P17169	P17169
P9WNS5	P9WNS5
Q51578	Q51578
P0C6W3	P0C6W3
P09455	P09455
P33247	P33247
A0A0H3AHP1	A0A0H3AHP1
D4Z2G1	D4Z2G1
Q07912	Q07912
P04818	P04818
Q9Y3R4	Q9Y3R4
Q9Y6F1	Q9Y6F1
C3W5S0	C3W5S0
Q00535	Q00535
P09237	P09237
P31553	P31553
P28366	P28366
P11474	P11474
P16528	P16528
P53396	P53396
A0A0H2UL03	A0A0H2UL03
Q96ZY1	Q96ZY1
O75940	O75940
Q58EU8	Q58EU8
P53934	P53934
O31156	O31156
P45481	P45481
Q9H999	Q9H999
Q6GI75	Q6GI75
Q8Y8D7	Q8Y8D7
Q93J45	Q93J45
Q14F07	Q14F07
P61769	P61769
P05696	P05696
G0RY29	G0RY29
P14756	P14756
D0AB09	D0AB09
P25548	P25548
P47811	P47811
Q51400	Q51400
P27361	P27361
Q5T1C6	Q5T1C6
Q54436	Q54436
P53762	P53762
O93655	O93655
Q58293	Q58293
Q99LC4	Q99LC4
Q9NQG6	Q9NQG6
P51449	P51449
Q13285	Q13285
P29375	P29375
P73797	P73797
Q8BHN3	Q8BHN3
P21836	P21836
A0A0L7KHE6	A0A0L7KHE6
O53623	O53623
P00959	P00959
P80188	P80188
P9WPY3	P9WPY3
P04918	P04918
O00764	O00764
P23141	P23141
B9A5C1	B9A5C1
P32477	P32477
D0E0C7	D0E0C7
P9WQA3	P9WQA3
Q16602	Q16602
P9WKX5	P9WKX5
H2VFG5	H2VFG5
Q72CX3	Q72CX3
P9WH43	P9WH43
Q5SLD7	Q5SLD7
P9WP01	P9WP01
Q9NYY3	Q9NYY3
P39086	P39086
B2RXH2	B2RXH2
O49686	O49686
Q8P559	Q8P559
Q13627	Q13627
P23616	P23616
P19801	P19801
P00730	P00730
P00763	P00763
Q7LIJ0	Q7LIJ0
Q97ZE2	Q97ZE2
P0A988	P0A988
P07584	P07584
P00592	P00592
A0A0H2UQE4	A0A0H2UQE4
B0CZL6	B0CZL6
O57203	O57203
P20581	P20581
P0A3Y5	P0A3Y5
O35795	O35795
Q9AMP1	Q9AMP1
P00947	P00947
W8U368	W8U368
P32156	P32156
Q8N543	Q8N543
O43293	O43293
P13513	P13513
P05024	P05024
P60842	P60842
P16184	P16184
R4NFR6	R4NFR6
P37231	P37231
P0A731	P0A731
Q27686	Q27686
O94925	O94925
Q16769	Q16769
P62136	P62136
A5K8X6	A5K8X6
P13051	P13051
O60341	O60341
Q4CWB4	Q4CWB4
P07858	P07858
O68183	O68183
Q90EB9	Q90EB9
D3KVM3	D3KVM3
Q2TLC1	Q2TLC1
Q07820	Q07820
P56734	P56734
Q5SHR6	Q5SHR6
O75608	O75608
Q16Y94	Q16Y94
P30838	P30838
P12473	P12473
P09464	P09464
G7CNL4	G7CNL4
P31345	P31345
P43886	P43886
B7GN78	B7GN78
P35505	P35505
Q9I4I1	Q9I4I1
I7G2R2	A0QP27
A7LXT8	A7LXT8
O00167	O00167
P40233	P40233
P14207	P14207
P0A6P9	P0A6P9
Q29437	Q29437
P08631	P08631
Q8WTX7	Q8WTX7
P10619	P10619
Q6RYW5	Q6RYW5
M9V5A4	M9V5A4
P24186	P24186
P48499	P48499
P33038	P33038
Q10QA5	Q10QA5
P04789	P04789
Q8IVH8	Q8IVH8
P28161	P28161
Q9UGL1	Q9UGL1
P00740	P00740
Q04771	Q04771
P27487	P27487
Q6DE08	Q6DE08
P0A1C1	P0A1C1
P00722	P00722
Q873Y0	Q873Y0
Q8AAK6	Q8AAK6
C7BLE4	C7BLE4
A0A140UH97	A0A140UH97
Q5WPU9	Q5WPU9
P14061	P14061
P49427	P49427
P00883	P00883
Q9I834	Q9I834
Q7D447	Q7D447
A6V1E4	A6V1E4
C4Z6Z2	C4Z6Z2
P26662	P26662
Q189K3	Q189K3
P90498	P90498
E9P5T5	E9P5T5
P76141	P76141
P9WPA7	P9WPA7
Q27546	Q27546
Q16658	Q16658
P9WMC0	P9WMC0
Q9KPI8	Q9KPI8
Q16651	Q16651
P27958	P27958
P28522	P28522
P36639	P36639
P11588	P11588
P88911	P88911
P43003	P43003
Q8E378	Q8E378
P04642	P04642
Q06135	Q06135
Q6GJI9	Q6GJI9
P55144	P55144
P37355	P37355
B3PEE6	B3PEE6
P0DPI0	P0DPI0
Q2MHR1	Q2MHR1
Q54873	Q54873
O43613	O43613
Q9UIF8	Q9UIF8
Q672W7	Q672W7
Q13231	Q13231
Q03479	Q03479
I6WJ72	I6WJ72
Q7NSA6	Q7NSA6
P00915	P00915
P07700	P07700
Q6DHI5	Q6DHI5
P02919	P02919
Q2FG38	Q2FG38
P42336	P42336
P25440	P25440
Q08602	Q08602
I7FE16	I7FE16
B8QIQ9	B8QIQ9
Q15118	Q15118
P30967	P30967
Q6IQ20	Q6IQ20
P09391	P09391
P03369	P03369
C1KHZ7	C1KHZ7
P62942	P62942
P31116	P31116
Q26966	Q26966
Q9NYA1	Q9NYA1
P00183	P00183
C6S9R8	C6S9R8
Q57193	Q57193
Q13635	Q13635
Q8G9Q0	Q8G9Q0
Q97W95	Q97W95
P0AD64	P0AD64
O94788	O94788
O00141	O00141
O28471	O28471
Q6Q8Q7	Q00456
P36673	P36673
Q56691	Q56691
P42866	P42866
Q9Q6P4	Q9Q6P4
Q2PHL4	Q2PHL4
B4EH86	B4EH86
P23007	P23007
P02791	P02791
Q2YKV1	Q2YKV1
O25294	O25294
P35247	P35247
P0A6F3	P0A6F3
P9WN39	P9WN39
P97571	P97571
Q13523	Q13523
P49761	P49761
Q9N0A4	Q9N0A4
H0ZQY2	H0ZQY2
Q4QAU9	Q4QAU9
Q8IL11	Q8IL11
G8JZS6	G8JZS6
P49327	P49327
Q9WZY5	Q9WZY5
Q93EK7	Q93EK7
Q88EQ6	Q88EQ6
Q9RZM4	Q9RZM4
Q4WP27	Q4WP27
Q9EQP2	Q9EQP2
Q9NUW8	Q9NUW8
P0AGL2	P0AGL2
P01375	P01375
Q96KS0	Q96KS0
L7R9I1	L7R9I1
Q54276	Q54276
Q96PN6	Q96PN6
P04905	P04905
Q7DD70	Q7DD70
Q848S6	Q848S6
P22340	P22340
P42085	P42085
C3L5T6	C3L5T6
P0AEE5	P0AEE5
P21675	P21675
Q00944	Q00944
Q5EK40	Q5EK40
A0A0R4I980	A0A0R4I980
P22392	P22392
Q820T1	Q820T1
Q13501	Q13501
O25323	O25323
P08138	P08138
O35627	O35627
P9WNS1	P9WNS1
P53779	P53779
Q9BRR9	Q9BRR9
P40136	P40136
Q16644	Q16644
P07445	P07445
P00929	P00929
Q16288	Q16288
P13864	P13864
P00558	P00558
P00436	P00436
Q9C9C9	Q9C9C9
Q8GMG0	Q8GMG0
Q76HJ9	Q76HJ9
Q8IYT8	Q8IYT8
P41784	P41784
P02787	P02787
A5HC98	A5HC98
A5U4D5	A5U4D5
P47871	P47871
P41814	P41814
Q86U86	Q86U86
P97287	P97287
O00763	O00763
P0A4F8	P0A4F8
O86151	O86151
F7ERX8	F7ERX8
Q02790	Q02790
O00478	O00478
P12931	P12931
O08760	O08760
P08244	P08244
P0A794	P0A794
P39898	P39898
P03433	P03433
P10408	P10408
P0A8I8	P0A8I8
A3XHF9	A3XHF9
P12269	P12269
Q8VHN2	Q8VHN2
P51955	P51955
P98170	P98170
P49435	P49435
O42721	O42721
O43318	O43318
Q9JHD1	Q9JHD1
Q5LUA7	Q5LUA7
P10547	P10547
P00497	P00497
P54830	P54830
Q9F8A8	Q9F8A8
P16088	P16088
A0A0H3JKY1	A0A0H3JKY1
D3WZ85	D3WZ85
P07435	P07435
P60487	P60487
P00519	P00519
Q02750	Q02750
P35844	P35844
P25911	P25911
P04637	P04637
Q8N884	Q8N884
P06709	P06709
E5KIY2	E5KIY2
P05132	P05132
A0ZNP3	A0ZNP3
P36186	P36186
Q9I194	Q9I194
P10415	P10415
P04278	P04278
Q96EP0	Q96EP0
P15085	P15085
O24911	O24911
Q8A8A4	Q8A8A4
Q7KQK0	Q7KQK0
A0A0H2ZD27	A0A0H2ZD27
Q16832	Q16832
A2RMJ9	A2RMJ9
Q5L1G5	Q5L1G5
Q9UDY8	Q9UDY8
P26639	P26639
P03372	P03372
P10384	P10384
P03958	P03958
Q6XT21	Q6XT21
O88622	O88622
P29320	P29320
P62993	P62993
Q9C0B1	Q9C0B1
P60953	P60953
Q9KS12	Q9KS12
P0ACT4	P0ACT4
P08839	P08839
O00444	O00444
Q9NDH8	Q9NDH8
P50583	P50583
P9WI81	P9WI81
P06721	P06721
P0ABP9	P0ABP9
Q88E47	Q88E47
Q00972	Q00972
Q92876	Q92876
P39045	P39045
Q5HGZ3	Q5HGZ3
Q6ZMT4	Q6ZMT4
O75191	O75191
P0AES5	P0AES5
P9WIH3	P9WIH3
O32080	O32080
P43873	P43873
Q99640	Q99640
Q8Z5I4	Q8Z5I4
Q581W1	Q581W1
P30114	P30114
Q8ZKA9	Q8ZKA9
P0A6L2	P0A6L2
P55042	P55042
D2KW09	D2KW09
Q9NZK7	Q9NZK7
J7I4B7	J7I4B7
Q9Y5S2	Q9Y5S2
Q92793	Q92793
P0AFG9	P0AFG9
O35904	O35904
Q16531	Q16531
O87198	O87198
Q9I4L4	Q9I4L4
Q2XVP4	Q2XVP4
Q96GX5	Q96GX5
O43353	O43353
O60502	O60502
P56868	P56868
Q29147	Q29147
B3PBE0	B3PBE0
P61201	P61201
G8JZS4	G8JZS4
Q99683	Q99683
P19576	P19576
Q9WZC2	Q9WZC2
P03072	P03072
Q8TF76	Q8TF76
P43235	P43235
Q10714	Q10714
P08514	P08514
P15273	P15273
P9WN95	P9WN95
Q9SCL7	Q9SCL7
Q79AD2	Q79AD2
O33853	O33853
P30044	P30044
A7ZSI4	A7ZSI4
Q9ZP19	Q9ZP19
K7N5N3	K7N5N3
O95470	O95470
P04190	P04190
Q7TMU1	Q7TMU1
O96013	O96013
Q12314	Q12314
P71447	P71447
P40347	P40347
S3MDF0	S3MDF0
Q6GFF9	Q6GFF9
P43378	P43378
Q7RYZ9	Q7RYZ9
A9LI60	A9LI60
P28482	P28482
P9WNH5	P9WNH5
P03313	P03313
B0B9A0	B0B9A0
P34948	P34948
G4CRQ5	G4CRQ5
Q9NP87	Q9NP87
Q02763	Q02763
A5K302	A5K302
P63104	P63104
O59010	O59010
P77173	P77173
A0A0B4WYC6	A0A0B4WYC6
Q9WZ62	Q9WZ62
O38710	O38710
P06745	P06745
P04995	P04995
P17931	P17931
Q00959	Q00959
P57772	P57772
P0AES0	P0AES0
P43403	P43403
P51436	P51436
P42641	P42641
Q88QV5	Q88QV5
P0DP23	P0DP23
Q9LLQ2	Q9LLQ2
B5II98	B5II98
P09104	P09104
B5BTR7	B5BTR7
Q8IEW2	Q8IEW2
P43115	P43115
Q2YQ76	Q2YQ76
P00742	P00742
Q9NTX7	Q9NTX7
O60990	O60990
P43813	P43813
B2RAM5	P31749
Q8DRB3	Q8DRB3
Q9I5Q5	Q9I5Q5
Q8WQX9	Q8WQX9
Q6WRH7	Q6WRH7
Q9E7M1	Q9E7M1
Q2QEH4	Q2QEH4
Q9AIU0	Q9AIU0
P34998	P34998
P50743	P50743
Q91RS4	Q91RS4
P9WI73	P9WI73
A9LIE0	A9LIE0
Q6S996	Q6S996
P29724	P29724
P03252	P03252
P47075	P47075
Q61166	Q61166
P41229	P41229
Q8SDV3	Q8SDV3
P10121	P10121
A0A0H2ZD98	A0A0H2ZD98
Q4LB86	Q4LB86
Q28372	Q28372
Q38BV6	Q38BV6
Q47537	Q47537
Q8VDS3	Q8VDS3
B0VD92	B0VD92
Q15759	Q15759
H2FH31	H2FH31
P00760	P00760
Q04759	Q04759
B0RM05	B0RM05
O26708	O26708
W8TRN9	W8TRN9
P35992	P35992
O15389	O15389
Q14397	Q14397
Q59310	Q59310
P96884	P96884
A0A024E3Q2	A0A024E3Q2
P04062	P04062
Q9I4K6	Q9I4K6
P00383	P00383
O15530	O15530
O95749	O95749
Q7TS98	Q7TS98
O95149	O95149
Q4FZB7	Q4FZB7
P80561	P80561
P0A9H3	P0A9H3
B2FRP5	B2FRP5
Q8IDJ8	Q8IDJ8
P29466	P29466
Q1DB04	Q1DB04
P30046	P30046
P50225	P50225
B1INP8	B1INP8
Q6PL18	Q6PL18
Q8NVG0	Q8NVG0
Q8WSF8	Q8WSF8
Q9FV53	Q9FV53
O80992	O80992
Q9H3R0	Q9H3R0
A0QU89	A0QU89
P9WIL5	P9WIL5
Q7DB61	Q7DB61
P05896	P05896
Q9JLS3	Q9JLS3
Q5CPK7	Q5CPK7
P04629	P04629
Q9VHA0	Q9VHA0
P32361	P32361
Q837V6	Q837V6
Q08345	Q08345
O24872	O24872
P56073	P56073
Q8DSE5	Q8DSE5
P69834	P69834
Q9Z4X2	Q9Z4X2
P34179	P34179
Q92630	Q92630
Q0S7P9	Q0S7P9
P15379	P15379
Q51815	Q51815
P0A884	P0A884
Q15382	Q15382
Q8PC69	Q8PC69
P97477	P97477
O28751	O28751
P51161	P51161
D0VWX9	D0VWX9
Q9HUT5	Q9HUT5
Q92N37	Q92N37
Q91753	Q91753
Q05097	Q05097
P12821	P12821
P27694	P27694
K4HQE7	K4HQE7
Q4QDU3	Q4QDU3
Q2L887	Q2L887
Q6RCR0	Q6RCR0
P9WI55	P9WI55
P35747	P35747
P55899	P55899
P51617	P51617
P10828	P10828
P56649	P56649
P93836	P93836
Q5TCY1	Q5TCY1
P20582	P20582
J9U5U9	J9U5U9
P74881	P74881
P38998	P38998
Q86W56	Q86W56
P59078	P59078
C1CKI0	C1CKI0
P9WQN9	P9WQN9
O95140	O95140
A1L4K5	Q96RI1
Q57884	Q57884
P08716	P08716
Q57986	Q57986
Q6PFX9	Q6PFX9
Q96Y14	Q96Y14
G0S8H7	G0S8H7
Q9BZX2	Q9BZX2
O28524	O28524
U5XBU0	U5XBU0
Q9NZQ7	Q9NZQ7
Q86WV6	Q86WV6
Q96AC1	Q96AC1
O60885	O60885
Q8IM15	Q8IM15
Q9F663	Q9F663
Q9Y530	Q9Y530
Q51817	Q51817
O35820	O35820
P0A749	P0A749
P0C6U8	P0C6U8
Q5G940	Q5G940
Q0P9S0	Q0P9S0
Q9Z4P9	Q9Z4P9
Q8DP79	Q8DP79
Q6WJ03	Q6WJ03
Q9SPP9	Q9SPP9
O00625	O00625
A5VWI3	A5VWI3
O60760	O60760
Q9NR97	Q9NR97
E9BC28	E9BC28
O58212	O58212
O05521	O05521
Q5ZUA2	Q5ZUA2
A0A3Q0KDV9	A0A3Q0KDV9
P15145	P15145
D6R8X8	D6R8X8
P0A9M2	P0A9M2
Q8GKX2	Q8GKX2
P42530	P42530
P14555	P14555
P46881	P46881
P24268	P24268
B1WBP0	B1WBP0
Q13002	Q13002
P0C512	P0C512
P21802	P21802
P18654	P18654
P29597	P29597
P14769	P14769
P46934	P46934
Q7X2H8	Q7X2H8
Q9EVD7	Q9EVD7
P28796	P28796
P26281	P26281
P00772	P00772
Q6N193	Q6N193
P9WJJ5	P9WJJ5
Q2QJL3	Q2QJL3
Q14562	Q14562
P08661	P08661
A5K1A2	A5K1A2
P00492	P00492
Q8T6J6	Q8T6J6
Q9YFY3	Q9YFY3
O25255	O25255
P47929	P47929
Q96RR4	Q96RR4
Q05397	Q05397
P23368	P23368
P07824	P07824
Q9L1K2	Q9L1K2
Q9RUB5	Q9RUB5
G3MM57	G3MM57
P0A8N7	P0A8N7
Q16620	Q16620
P13569	P13569
Q9R1M7	Q9R1M7
Q03137	Q03137
Q8DQB5	Q8DQB5
C3W6G3	C3W6G3
P52700	P52700
Q5JIH4	Q5JIH4
P18886	P18886
P39958	P39958
Q02834	Q02834
Q9WTK1	Q9WTK1
P12955	P12955
Q8RDN9	Q8RDN9
O55239	O55239
Q16853	Q16853
Q6L8Q7	Q6L8Q7
O75469	O75469
P95649	P95649
Q53685	Q53685
Q8I0P1	Q8I0P1
Q93088	Q93088
P13255	P13255
F2RFR7	F2RFR7
P03420	P03420
D3DSX2	D3DSX2
Q8WWA0	Q8WWA0
A2NHM3	A2NHM3
Q9Y5Y6	Q9Y5Y6
Q9CZW6	Q9CZW6
P00693	P00693
P0AB71	P0AB71
P17707	P17707
P00363	P00363
Q0P864	Q0P864
S8G8I1	S8G8I1
Q837A3	Q837A3
P48650	P48650
P30803	P30803
B4EA43	B4EA43
G0SCH1	G0SCH1
P02761	P02761
O95696	O95696
P08567	P08567
Q9BY41	Q9BY41
O13833	O13833
Q7LYW4	Q7LYW4
P9WKE1	P9WKE1
P26361	P26361
P55201	P55201
Q95NY5	Q95NY5
Q9BH77	Q9BH77
P73954	P73954
Q9H2K2	Q9H2K2
P54829	P54829
P11021	P11021
P42260	P42260
P50213	P50213
A9CGA5	A9CGA5
P00533	P00533
Q9BIH3	Q9BIH3
Q2HRB6	Q2HRB6
H9TUK5	H9TUK5
Q13093	Q13093
A0A0H2Z7A6	A0A0H2Z7A6
P60472	P60472
E0WWC7	E0WWC7
P00512	P00512
A0ZNP5	A0ZNP5
Q9BJF5	Q9BJF5
O58328	O58328
A0R618	A0R618
P28327	P28327
Q59401	Q59401
Q01469	Q01469
B4FZ94	B4FZ94
Q0P9D1	Q0P9D1
O43924	O43924
Q30NP1	Q30NP1
O06842	O06842
P53355	P53355
P52293	P52293
P12271	P12271
O50260	O50260
Q8WZA1	Q8WZA1
O76083	O76083
Q54727	Q54727
Q9UGN5	Q9UGN5
P07650	P07650
U5MRH9	U5MRH9
Q9CPU0	Q9CPU0
Q9TVW2	Q9TVW2
P0ACC7	P0ACC7
Q9RCF6	Q9RCF6
Q8N8S7	Q8N8S7
O38732	O38732
B0R5M0	B0R5M0
Q8WUI4	Q8WUI4
P36544	P36544
Q9HXM1	Q9HXM1
P48147	P48147
Q9NNX6	Q9NNX6
Q9WMX2	Q9WMX2
Q9Y6M4	Q9Y6M4
P78552	P78552
P40409	P40409
P41145	P41145
Q20R18	Q20R18
Q61420	Q61420
Q48935	Q48935
P68826	P68826
Q9PTT3	Q9PTT3
Q9X2W0	Q9X2W0
P08185	P08185
P02692	P02692
Q8ZVF7	Q8ZVF7
F8W4B7	F8W4B7
Q39255	Q39255
P49674	P49674
Q7SIE4	Q7SIE4
B3RFT3	B3RFT3
F8QQG5	F8QQG5
B9A0T7	B9A0T7
P60546	P60546
D0VX31	D0VX31
O43314	O43314
P0A017	P0A017
Q96MK3	Q96MK3
P32138	P32138
A1CII2	A1CII2
Q9NAW4	Q9NAW4
P0A7I4	P0A7I4
P27815	P27815
P40416	P40416
Q82134	Q82134
P81446	P81446
Q64444	Q64444
Q9GZU7	Q9GZU7
Q8I3X4	Q8I3X4
P31434	P31434
P16218	P16218
A7YYL1	A7YYL1
P22455	P22455
Q9H244	Q9H244
P19120	P19120
P0AEQ3	P0AEQ3
P9WKD3	P9WKD3
Q58206	Q58206
P46107	P46107
P15167	P15167
O75874	O75874
P80366	P80366
O60674	O60674
Q9Y233	Q9Y233
Q6L545	Q6L545
O00214	O00214
P04587	P04587
P00952	P00952
P29373	P29373
Q8A8X4	Q8A8X4
P18153	P18153
Q9Y6X5	Q9Y6X5
P0AF18	P0AF18
P0DMM5	P0DMM5
P0AD65	P0AD65
Q01693	Q01693
A7Y8I1	A7Y8I1
P37028	P37028
O14733	O14733
Q02899	Q02899
